title,user,img,url,user_url,user_img
모든 감정은 나를 위한 것이었다. (스포 조심),Kevin,https://velog.velcdn.com/images/yardyard/post/930356f1-e727-4327-8cff-ad55cd43cd0e/image.png,https://velog.io/@yardyard/모든-감정은-나를-위한-것이었다.-스포-조심,https://velog.io//@yardyard/posts,https://velog.velcdn.com/images/yardyard/profile/eee57bf9-1ece-465a-a31d-3b6f7059cd45/image.jpg
QueryDSL의 작은 팁,Basquiat Yoon,,https://velog.io/@basquiat78/QueryDSL의-작은-팁,https://velog.io//@basquiat78/posts,https://velog.velcdn.com/images/basquiat78/profile/4e5bd42c-e36c-4d1a-b7b9-748d9b6d2dfc/social_profile.gif
우물 안 올챙이,허준기,https://velog.velcdn.com/images/dradnats1012/post/6e6e9542-8b4a-4767-84d5-6eca75dde726/image.webp,https://velog.io/@dradnats1012/우물-안-올챙이,https://velog.io//@dradnats1012/posts,https://velog.velcdn.com/images/dradnats1012/profile/b73de2cd-ce4c-4b8c-9f10-ac4007485743/image.jpeg
java-modifiers,김구현,https://velog.velcdn.com/images/kgh852/post/e50b9aa2-4651-4537-9d24-5abefb658b89/image.webp,https://velog.io/@kgh852/java-modifiers,https://velog.io//@kgh852/posts,https://velog.velcdn.com/images/kgh852/profile/4b6873f6-ccc9-4460-884a-61ff8c5f4799/social_profile.png
의존성 역전을 활용하여 테스트코드를 경량화하는 방법,양말,https://velog.velcdn.com/images/ywonchae1/post/12bbb45f-c3a2-4507-8fa3-de9e852b177d/image.jpeg,https://velog.io/@ywonchae1/의존성-역전을-활용하여-테스트코드를-경량화하는-방법,https://velog.io//@ywonchae1/posts,https://velog.velcdn.com/images/ywonchae1/profile/dc823134-c675-4807-a5f2-e8debba56413/image.jpg
Bits: Figma AI (and Slides),Jaeho Lee,https://velog.velcdn.com/images/jaeholee/post/e76b9f72-c38a-4a83-8c8d-a99eee0d2976/image.png,https://velog.io/@jaeholee/Bits-Figma-AI-and-Slides,https://velog.io//@jaeholee/posts,https://images.velog.io/profiles/jaeholee/thumbnails/1574752979.621.jpeg
올해 첫 2차 면접 회고!!!,재혁,https://velog.velcdn.com/images/wogur981208/post/04e99b1b-e1b9-40b8-b9fd-4a69f8051595/image.png,https://velog.io/@wogur981208/올해-첫-2차-면접-회고,https://velog.io//@wogur981208/posts,https://velog.velcdn.com/images/wogur981208/profile/fcac9a54-e839-4616-83af-c763ab1a4649/image.avif
[TIL]240628(금) 주특기 플러스 5일차,깨달이정원,https://velog.velcdn.com/images/sise96/post/e2e591b7-0b02-43d7-b831-0efcf4aaf794/image.png,https://velog.io/@sise96/TIL240628금-주특기-플러스-5일차,https://velog.io//@sise96/posts,https://velog.velcdn.com/images/sise96/profile/7f80156e-6ccf-4056-a968-01767eeb05ec/image.webp
Spring Boot에 ChatGPT 연동하기(chat),Suyeon,https://velog.velcdn.com/images/suyeon0_0/post/9cfd7f6e-6b09-4e7f-a3f1-3a7214ab671d/image.png,https://velog.io/@suyeon0_0/Temp-Title,https://velog.io//@suyeon0_0/posts,https://velog.velcdn.com/images/suyeon0_0/profile/8f6c8a2d-ef58-4cf8-86db-5322275b733d/image.jpeg
KDA 훈련 1일차,이승용,https://velog.velcdn.com/images/seungyonglee/post/de8ad933-ae64-4b3f-8768-634d1c5f1a7e/image.webp,https://velog.io/@seungyonglee/KDA-훈련-1일차,https://velog.io//@seungyonglee/posts,https://velog.velcdn.com/images/seungyonglee/profile/1622caf7-f905-49f1-884a-159a1496ee9d/social_profile.jpeg
Swagger 완벽 정복기,곰겜,https://velog.velcdn.com/images/beargame/post/b10e5c3e-9734-4bdd-b42d-63d833d6e45a/image.jpg,https://velog.io/@beargame/Swagger-완벽-정복기,https://velog.io//@beargame/posts,https://velog.velcdn.com/images/beargame/profile/3c24ad1b-b825-420e-a014-9b6af476a335/social_profile.jpeg
react-query로 효율적인 데이터 관리하기,지혜,https://velog.velcdn.com/images/wisdom-13/post/ee161989-10af-4b9d-a81f-1b7ac82e75c1/image.gif,https://velog.io/@wisdom-13/react-query로-효율적인-데이터-관리하기,https://velog.io//@wisdom-13/posts,https://velog.velcdn.com/images/wisdom-13/profile/77f9c808-c9e2-4d67-8457-1b8f9d37badf/image.png
[React] React에 SOLID 원칙 중 SRP 원칙 적용하기,빈2,https://velog.velcdn.com/images/yongb2n/post/4d42513d-ee2c-41f1-9978-77ffbf93b1c0/image.png,https://velog.io/@yongb2n/React-React에-SOLID-원칙-중-SRP-원칙-적용하기,https://velog.io//@yongb2n/posts,https://velog.velcdn.com/images/yongb2n/profile/65afc0c4-5003-4cdb-a633-af51b44e929c/image.jpeg
[Python] PyAutoGUI Library,xaehn,,https://velog.io/@xaehn/Python-PyAutoGUI-Library,https://velog.io//@xaehn/posts,/images/user-thumbnail.png
"Next.js 14(app router)에서 GA4, GTM, @next/third-parties 사용하기",ClydeHan,https://velog.velcdn.com/images/clydehan/post/7ebac940-9c5d-4a3f-981e-8e5062c66c71/image.png,https://velog.io/@clydehan/Next.js-14app-router에서-GA4-GTM-nextthird-parties-사용하기,https://velog.io//@clydehan/posts,https://velog.velcdn.com/images/clydehan/profile/4825c555-8762-4835-9cd6-627329c1d854/image.png
안드로이드 케이크처럼 시작하기 (1) 설치하기,이건희,https://velog.velcdn.com/images/tumblecat/post/d5d3e987-26ee-4467-ba73-b1567d35a294/image.png,https://velog.io/@tumblecat/안드로이드-케이크처럼-시작하기-1-설치하기,https://velog.io//@tumblecat/posts,https://velog.velcdn.com/images/tumblecat/profile/31051b74-0bd9-4f3f-89b9-540063efc9af/image.jpg
[TIL] 240627,oneieo,https://velog.velcdn.com/images/oneieo/post/0fbae587-4810-4d68-a606-f812f3c15c31/image.png,https://velog.io/@oneieo/TIL-240627,https://velog.io//@oneieo/posts,https://velog.velcdn.com/images/oneieo/profile/ada6521b-d506-46d2-afc5-a94879e74179/image.png
TIL 2024.06.27,Boyoung Lee,https://velog.velcdn.com/images/genuss040822/post/230247ce-ddc6-4ea2-959e-683dc944bfb4/image.jpg,https://velog.io/@genuss040822/TIL-2024.06.27,https://velog.io//@genuss040822/posts,https://velog.velcdn.com/images/genuss040822/profile/a9286d34-cabc-4c59-b6d5-95018eb8ad11/image.jpeg
5-1장. Docker 볼륨 연결,개발 99,https://velog.velcdn.com/images/new_guy/post/65c5880e-96d3-4b88-9a15-e1136989afcf/image.png,https://velog.io/@new_guy/5-1-Docker-볼륨-연결,https://velog.io//@new_guy/posts,https://velog.velcdn.com/images/new_guy/profile/98c943fa-5dc0-4ba3-a2d9-996cb0d2c5b0/image.jpg
[TIL-21] 24.06.27,Ga_zzang,https://velog.velcdn.com/images/gazzanggu/post/571d3dea-8cc4-40ba-816b-d1fb5777e166/image.jpg,https://velog.io/@gazzanggu/TIL-21-24.06.27,https://velog.io//@gazzanggu/posts,https://velog.velcdn.com/images/gazzanggu/profile/6c3e5f05-808e-48fe-b502-a0871ce22b1c/image.jpg
Tailwind CSS & cva,곽재훈,https://velog.velcdn.com/images/jh5414092/post/7216d969-7d45-4c7c-94c4-e52f4ae5c59f/image.png,https://velog.io/@jh5414092/Tailwind-CSS-cva,https://velog.io//@jh5414092/posts,https://velog.velcdn.com/images/jh5414092/profile/14761135-7c8e-4e8a-a507-79cedb1650da/image.png
객체지향의 사실과 오해 정리 - 1,guswls,https://velog.velcdn.com/images/guswlsdl0121/post/f73c9c35-5fd9-4c10-96b9-4becc94674cb/image.png,https://velog.io/@guswlsdl0121/객체지향의-사실과-오해-정리-1,https://velog.io//@guswlsdl0121/posts,https://velog.velcdn.com/images/guswlsdl0121/profile/9fab4a0f-0909-420b-bae2-a8413886f64d/social_profile.png
디자인 패턴,Park sang woo,https://velog.velcdn.com/images/lusate/post/93a95b23-9e26-4122-b867-dd7d54fe62ef/image.png,https://velog.io/@lusate/디자인-패턴-6mr6b0q3,https://velog.io//@lusate/posts,https://velog.velcdn.com/images/lusate/profile/fa7b6e68-1da7-4179-90d3-33970e258989/image.jpg
3주차 로그 - 타입 스크립트,이태형,,https://velog.io/@thlee98/타입-스크립트,https://velog.io//@thlee98/posts,https://velog.velcdn.com/images/thlee98/profile/33f14a7c-0572-42aa-94f0-e965d7fc0d33/social_profile.png
[TIL #43] Typescript 개인과제-1,차슈,https://velog.velcdn.com/images/cotn963/post/c6f489b2-70df-4ac8-b434-9298486516c9/image.gif,https://velog.io/@cotn963/TIL-43-Type-script-개인과제,https://velog.io//@cotn963/posts,https://velog.velcdn.com/images/cotn963/profile/2098f62a-aa83-48ea-b6e3-170779dac313/image.jpeg
"[9천명 접속!] ""무아지경"" 동국대  축제사이트 돌아보기 1",오찬주,https://velog.velcdn.com/images/ohchanju3/post/50835802-8cab-408e-8dfb-0167663c92e6/image.png,https://velog.io/@ohchanju3/9천명-접속-무아지경-동국대-축제사이트-돌아보기,https://velog.io//@ohchanju3/posts,https://velog.velcdn.com/images/ohchanju3/profile/4167c989-0c7d-46f3-bb3e-faf85d957edd/image.jpeg
타입의 안정성? 복잡성 증가?,박요셉,,https://velog.io/@0dytpq0/타입의-안정성-복잡성-증가,https://velog.io//@0dytpq0/posts,https://velog.velcdn.com/images/0dytpq0/profile/f4fc7be1-3a70-420d-b99d-03d45b6d00c7/social_profile.png
[Java Script] Cookie 설정,yedi,https://velog.velcdn.com/images/yedi/post/c0c565e4-c29f-4535-87e0-95d7d9258168/image.jpeg,https://velog.io/@yedi/Java-Script-Cookie-설정,https://velog.io//@yedi/posts,/images/user-thumbnail.png
Web Assembly,gitsunmin,https://velog.velcdn.com/images/gitsunmin/post/1fd2b125-a9ff-48d0-be0e-7489ba2dfd0a/image.png,https://velog.io/@gitsunmin/Web-Assembly,https://velog.io//@gitsunmin/posts,https://velog.velcdn.com/images/gitsunmin/profile/15bb800b-0ada-493f-bcaa-8c9acccbbf01/social_profile.jpeg
"[React] 클래스형 컴포넌트, 함수형 컴포넌트",ClydeHan,https://velog.velcdn.com/images/clydehan/post/e0d78a70-a458-47b5-98db-d82e08640d93/image.png,https://velog.io/@clydehan/React-클래스형-컴포넌트-함수형-컴포넌트,https://velog.io//@clydehan/posts,https://velog.velcdn.com/images/clydehan/profile/4825c555-8762-4835-9cd6-627329c1d854/image.png
RTK 와 Typescript 사용하기,ZOMINS,,https://velog.io/@zomins/RTK-와-Typescript-사용하기,https://velog.io//@zomins/posts,https://velog.velcdn.com/images/zomins/profile/ae616476-e441-47bf-b12c-210f153c9c1d/image.jpg
[노가리] 예비군 동미참 4일차 후기,Minjun Kim,https://velog.velcdn.com/images/thundevistan/post/2244f261-3338-427e-9a4f-a54422505e3a/image.gif,https://velog.io/@thundevistan/노가리-예비군-동미참-4일차-후기,https://velog.io//@thundevistan/posts,https://velog.velcdn.com/images/thundevistan/profile/019913fb-ddf5-4af7-a625-bfe6ae228a03/social_profile.gif
Factory Method,Lee Luda,,https://velog.io/@luda412/Factory-Method,https://velog.io//@luda412/posts,https://velog.velcdn.com/images/luda412/profile/19a0b667-05d4-4ba1-99bb-b8831d452b8c/image.png
[ 6 / 26 ] Today I Learned,ﾠ ﾠ ﾠ ,,https://velog.io/@ghddbsk12/6-26-Today-I-Learned,https://velog.io//@ghddbsk12/posts,https://velog.velcdn.com/images/ghddbsk12/profile/6c601f7f-c40f-4b26-8695-45d5a9ad0f1e/image.jpeg
"240626 TIL_개인 프로젝트5 (나라를 선택할 수 있는 웹사이트 제작) > 리팩토링(가시성을 위한 리팩토링) ,TypeScript 강의 (type), 알고리즘",미밍,https://velog.velcdn.com/images/miming-00/post/7b9730a0-5f6f-4c2f-8294-9bca3cdeb046/image.png,https://velog.io/@miming-00/240626-TIL,https://velog.io//@miming-00/posts,https://velog.velcdn.com/images/miming-00/profile/c3fde1ce-7d44-4e56-a0ca-99c4d086371e/social_profile.png
TIL 2024.06.28,Boyoung Lee,https://velog.velcdn.com/images/genuss040822/post/dfcd9c82-f670-4bd5-955c-cb37e1764ab3/image.jpg,https://velog.io/@genuss040822/TIL-2024.06.28,https://velog.io//@genuss040822/posts,https://velog.velcdn.com/images/genuss040822/profile/a9286d34-cabc-4c59-b6d5-95018eb8ad11/image.jpeg
KDA 훈련 기록지,이승용,https://velog.velcdn.com/images/seungyonglee/post/b5e22c10-5378-4f0c-811c-6757fdb42423/image.webp,https://velog.io/@seungyonglee/KDA-훈련-기록지,https://velog.io//@seungyonglee/posts,https://velog.velcdn.com/images/seungyonglee/profile/1622caf7-f905-49f1-884a-159a1496ee9d/social_profile.jpeg
6/26 TIL (TypeScript),휘진,https://velog.velcdn.com/images/hwijinkim22/post/4bcd2268-f4b5-4ed9-acbd-bb33ec731ed3/image.png,https://velog.io/@hwijinkim22/626-TIL-TypeScript,https://velog.io//@hwijinkim22/posts,https://velog.velcdn.com/images/hwijinkim22/profile/813597b6-1fa4-4ea7-8163-a28d9aa49235/image.jpg
[DL 기본] Transformer,cherry,,https://velog.io/@cherrykim/DL-기본-Transformer,https://velog.io//@cherrykim/posts,https://velog.velcdn.com/images/cherrykim/profile/a6fcce39-18b9-4d7a-bfdd-3e18703b8c3f/image.jpeg
C언어 함수 알아보기 : qsort();,teamplay,https://velog.velcdn.com/images/hexter31376/post/09a0a9be-0e20-4348-8cd9-c1861874e4d9/image.jpeg,https://velog.io/@hexter31376/C언어-함수-알아보기-qsort,https://velog.io//@hexter31376/posts,https://velog.velcdn.com/images/hexter31376/profile/1016cdad-7b3a-41bd-8cd5-4825c5a27794/social_profile.jpeg
